hebrew,english,hebrew_to_english_score,english_to_hebrew_score,recent_wrong,explanations_examples
כן,yes,0,0,0,"Basic confirmation. Example: כן, אני בא. — Yes, I’m coming."
לא,no,0,0,0,"Basic negation. Example: לא, תודה. — No, thanks."
תודה,thank you,0,0,0,"Used everywhere, formal and informal. Example: תודה על העזרה. — Thanks for the help."
בבקשה,please / you’re welcome,0,0,0,Means both “please” and “you’re welcome.” Example: בבקשה תעזור לי. — Please help me.
סליחה,sorry / excuse me,0,0,0,"Used to apologize or get attention. Example: סליחה, איפה השירותים? — Excuse me, where are the bathroom?"
מה,what,0,0,0,Basic question word. Example: מה זה? — What is this?
מי,who,0,0,0,Basic question word. Example: מי זה? — Who is that?
איפה,where,0,0,0,Basic question word. Example: איפה אתה גר? — Where do you live?
מתי,when,0,0,0,Basic question word. Example: מתי ניפגש? — When will we meet?
למה,why,0,0,0,Basic question word. Example: למה אתה עייף? — Why are you tired?
איך,how,0,0,0,Basic question word. Example: איך מגיעים לשם? — How do you get there?
אני,I,0,0,0,First-person singular. Example: אני רעב. — I’m hungry.
אתה,you,0,0,0,Masculine singular “you.” Example: אתה בבית? — Are you at home?
את,you,0,0,0,Feminine singular “you.” Example: את מוכנה? — Are you ready?
הוא,he,0,0,0,Third-person masculine. Example: הוא חבר שלי. — He is my friend.
היא,she,0,0,0,Third-person feminine. Example: היא עובדת פה. — She works here.
אנחנו,we,0,0,0,First-person plural. Example: אנחנו הולכים לים. — We’re going to the beach.
עכשיו,now,0,0,0,Very common in speech. Example: אני יוצא עכשיו. — I’m leaving now.
היום,today,0,0,0,Basic time word. Example: היום חם מאוד. — Today is very hot.
מחר,tomorrow,0,0,0,Basic time word. Example: מחר יש לי פגישה. — Tomorrow I have a meeting.
אתמול,yesterday,0,0,0,Basic time word. Example: אתמול הייתי בתל אביב. — Yesterday I was in Tel Aviv.
טוב,good,0,0,0,Very common adjective. Example: זה רעיון טוב. — That’s a good idea.
רע,bad,0,0,0,Opposite of טוב. Example: זה לא רע. — That’s not bad.
גדול,big,0,0,0,Masculine form. Feminine: גדולה. Example: הבית גדול. — The house is big.
קטן,small,0,0,0,Masculine form. Feminine: קטנה. Example: החדר קטן. — The room is small.
חם,hot,0,0,0,"For weather, food, or temperature. Example: הקפה חם. — The coffee is hot."
קר,cold,0,0,0,"For weather, food, or temperature. Example: בחוץ קר. — It’s cold outside."
טעים,tasty,0,0,0,Very useful for food. Example: האוכל טעים. — The food is tasty.
מים,water,0,0,0,Plural-looking noun but usually used as singular meaning. Example: אני רוצה מים. — I want water.
אוכל,food,0,0,0,Also can mean “eating” or “I eat” depending on context. Example: יש פה אוכל טוב. — There’s good food here.
בית,house / home,0,0,0,Basic noun. Example: אני בבית. — I’m at home.
רחוב,street,0,0,0,Useful for directions. Example: הרחוב הזה שקט. — This street is quiet.
כסף,money,0,0,0,Basic everyday word. Example: אין לי כסף מזומן. — I don’t have cash.
זמן,time,0,0,0,Basic abstract noun. Example: אין לי זמן עכשיו. — I don’t have time now.
עבודה,work / job,0,0,0,Can mean the workplace or work in general. Example: אני בדרך לעבודה. — I’m on the way to work.
חבר,friend,0,0,0,Masculine friend; feminine: חברה. Also can mean boyfriend. Example: הוא חבר טוב. — He is a good friend.
חברה,friend / girlfriend / company,0,0,0,"Feminine friend, girlfriend, or company depending on context. Example: היא חברה שלי. — She is my friend / girlfriend."
יאללה,come on / let’s go,0,0,0,"Very common slang from Arabic, used constantly. Example: יאללה, בוא נלך. — Come on, let’s go."
סבבה,cool / okay,0,0,0,"Very common casual word meaning fine, okay, cool. Example: סבבה, נדבר מחר. — Cool, we’ll talk tomorrow."
אחלה,great / excellent,0,0,0,Casual positive word. Example: אחלה רעיון. — Great idea.
וואלה,really / wow / well,0,0,0,"Flexible slang word; can show surprise, agreement, or hesitation. Example: וואלה, לא ידעתי. — Really, I didn’t know."
מגניב,cool,0,0,0,Casual word for something cool or interesting. Example: זה ממש מגניב. — That’s really cool.
באסה,bummer,0,0,0,"Slang for something disappointing. Example: איזה באסה, הפסדנו. — What a bummer, we lost."
חבל,too bad / shame,0,0,0,Used when something is unfortunate. Example: חבל שלא באת. — Too bad you didn’t come.
כיף,fun,0,0,0,Very common. Example: היה ממש כיף. — It was really fun.
אחי,bro / my brother,0,0,0,"Informal address, mostly masculine-coded but widely heard. Example: אחי, מה קורה? — Bro, what’s up?"
מה קורה,what’s up,0,0,0,"Everyday greeting. Example: היי, מה קורה? — Hey, what’s up?"
הכל טוב,all good,0,0,0,"Common answer to “what’s up?” Example: הכל טוב, תודה. — All good, thanks."
בקטנה,no big deal,0,0,0,"Slang meaning something is minor/easy. Example: זה בקטנה, אני אטפל בזה. — No big deal, I’ll handle it."
זורם,down / flexible / goes with it,0,0,0,Slang meaning someone is easygoing or willing. Example: אתה זורם לקפה? — Are you down for coffee?
חופר,annoying / talks too much,0,0,0,Slang; literally “digging.” Example: הוא קצת חופר. — He talks too much / he’s being annoying.
